Taxa,Realm,Biome,N,N Traded,N Pet-Traded (%),N Product-Traded (%)
Amphibian,Afrotropical,Deserts & Xeric Shrublands,103,15,10 (9.71),6 (5.83)
Amphibian,Afrotropical,Flooded Grasslands & Savannas,130,25,19 (14.62),7 (5.38)
Amphibian,Afrotropical,Mangroves,81,22,17 (20.99),6 (7.41)
Amphibian,Afrotropical,"Mediterranean Forests, Woodlands & Scrub",52,4,3 (5.77),1 (1.92)
Amphibian,Afrotropical,Montane Grasslands & Shrublands,250,37,25 (10.00),11 (4.40)
Amphibian,Afrotropical,Tropical & Subtropical Dry Broadleaf Forests,49,9,7 (14.29),3 (6.12)
Amphibian,Afrotropical,"Tropical & Subtropical Grasslands, Savannas & Shrublands",555,46,34 (6.13),12 (2.16)
Amphibian,Afrotropical,Tropical & Subtropical Moist Broadleaf Forests,571,58,34 (5.95),13 (2.28)
Amphibian,Australian,Deserts & Xeric Shrublands,44,3,3 (6.82),0 (0.00)
Amphibian,Australian,"Mediterranean Forests, Woodlands & Scrub",52,3,3 (5.77),0 (0.00)
Amphibian,Australian,Montane Grasslands & Shrublands,23,2,2 (8.70),0 (0.00)
Amphibian,Australian,Temperate Broadleaf & Mixed Forests,91,7,6 (6.59),1 (1.10)
Amphibian,Australian,"Temperate Grasslands, Savannas & Shrublands",50,7,6 (12.00),1 (2.00)
Amphibian,Australian,"Tropical & Subtropical Grasslands, Savannas & Shrublands",122,5,4 (3.28),1 (0.82)
Amphibian,Australian,Tropical & Subtropical Moist Broadleaf Forests,56,5,4 (7.14),1 (1.79)
Amphibian,Madagascan,Deserts & Xeric Shrublands,29,6,5 (17.24),2 (6.90)
Amphibian,Madagascan,Tropical & Subtropical Dry Broadleaf Forests,106,13,10 (9.43),6 (5.66)
Amphibian,Madagascan,Tropical & Subtropical Moist Broadleaf Forests,268,34,30 (11.19),14 (5.22)
Amphibian,Nearctic,Boreal Forests/Taiga,24,7,5 (20.83),3 (12.50)
Amphibian,Nearctic,Deserts & Xeric Shrublands,126,16,8 (6.35),8 (6.35)
Amphibian,Nearctic,Flooded Grasslands & Savannas,25,7,5 (20.00),3 (12.00)
Amphibian,Nearctic,Mangroves,19,2,0 (0.00),2 (10.53)
Amphibian,Nearctic,"Mediterranean Forests, Woodlands & Scrub",42,7,4 (9.52),3 (7.14)
Amphibian,Nearctic,Temperate Broadleaf & Mixed Forests,184,20,13 (7.07),9 (4.89)
Amphibian,Nearctic,Temperate Conifer Forests,172,22,14 (8.14),8 (4.65)
Amphibian,Nearctic,"Temperate Grasslands, Savannas & Shrublands",113,15,11 (9.73),5 (4.42)
Amphibian,Nearctic,Tropical & Subtropical Coniferous Forests,135,17,7 (5.19),13 (9.63)
Amphibian,Nearctic,Tropical & Subtropical Dry Broadleaf Forests,134,14,6 (4.48),9 (6.72)
Amphibian,Nearctic,"Tropical & Subtropical Grasslands, Savannas & Shrublands",48,7,5 (10.42),3 (6.25)
Amphibian,Nearctic,Tropical & Subtropical Moist Broadleaf Forests,105,8,5 (4.76),4 (3.81)
Amphibian,Nearctic,Tundra,7,2,2 (28.57),0 (0.00)
Amphibian,Neotropical,Deserts & Xeric Shrublands,206,39,27 (13.11),17 (8.25)
Amphibian,Neotropical,Flooded Grasslands & Savannas,116,28,22 (18.97),8 (6.90)
Amphibian,Neotropical,Mangroves,280,37,33 (11.79),11 (3.93)
Amphibian,Neotropical,"Mediterranean Forests, Woodlands & Scrub",10,3,2 (20.00),3 (30.00)
Amphibian,Neotropical,Montane Grasslands & Shrublands,293,44,20 (6.83),29 (9.90)
Amphibian,Neotropical,Temperate Broadleaf & Mixed Forests,46,4,3 (6.52),3 (6.52)
Amphibian,Neotropical,"Temperate Grasslands, Savannas & Shrublands",81,21,18 (22.22),6 (7.41)
Amphibian,Neotropical,Tropical & Subtropical Dry Broadleaf Forests,432,54,40 (9.26),19 (4.40)
Amphibian,Neotropical,"Tropical & Subtropical Grasslands, Savannas & Shrublands",573,58,49 (8.55),16 (2.79)
Amphibian,Neotropical,Tropical & Subtropical Moist Broadleaf Forests,1950,147,115 (5.90),53 (2.72)
Amphibian,Oceanina,Mangroves,26,1,1 (3.85),0 (0.00)
Amphibian,Oceanina,Montane Grasslands & Shrublands,37,1,1 (2.70),0 (0.00)
Amphibian,Oceanina,Tropical & Subtropical Dry Broadleaf Forests,1,0,0 (0.00),0 (0.00)
Amphibian,Oceanina,"Tropical & Subtropical Grasslands, Savannas & Shrublands",25,5,4 (16.00),1 (4.00)
Amphibian,Oceanina,Tropical & Subtropical Moist Broadleaf Forests,312,12,8 (2.56),5 (1.60)
Amphibian,Oriental,Deserts & Xeric Shrublands,38,6,3 (7.89),5 (13.16)
Amphibian,Oriental,Mangroves,73,19,10 (13.70),12 (16.44)
Amphibian,Oriental,Montane Grasslands & Shrublands,29,3,1 (3.45),2 (6.90)
Amphibian,Oriental,Temperate Broadleaf & Mixed Forests,70,9,3 (4.29),8 (11.43)
Amphibian,Oriental,Temperate Conifer Forests,65,12,5 (7.69),11 (16.92)
Amphibian,Oriental,Tropical & Subtropical Coniferous Forests,77,16,6 (7.79),13 (16.88)
Amphibian,Oriental,Tropical & Subtropical Dry Broadleaf Forests,273,31,18 (6.59),18 (6.59)
Amphibian,Oriental,"Tropical & Subtropical Grasslands, Savannas & Shrublands",35,6,2 (5.71),6 (17.14)
Amphibian,Oriental,Tropical & Subtropical Moist Broadleaf Forests,897,92,53 (5.91),61 (6.80)
Amphibian,Palearctic,Boreal Forests/Taiga,27,18,8 (29.63),13 (48.15)
Amphibian,Palearctic,Deserts & Xeric Shrublands,27,15,8 (29.63),8 (29.63)
Amphibian,Palearctic,Flooded Grasslands & Savannas,11,7,1 (9.09),7 (63.64)
Amphibian,Palearctic,"Mediterranean Forests, Woodlands & Scrub",81,37,18 (22.22),24 (29.63)
Amphibian,Palearctic,Montane Grasslands & Shrublands,27,12,2 (7.41),12 (44.44)
Amphibian,Palearctic,Temperate Broadleaf & Mixed Forests,107,50,26 (24.30),32 (29.91)
