Year,Leading Cause,Sex,Race Ethnicity,Fatality
2010,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,228
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,68
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,271
2010,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,140
2009,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,255
2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Other Race/ Ethnicity,.
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,102
2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,26
2010,All Other Causes,F,White Non-Hispanic,2140
2009,Alzheimer's Disease (G30),F,Other Race/ Ethnicity,.
2013,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,191
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,281
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,76
2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,17
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,70
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,.
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,10
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2121
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Not Stated/Unknown,.
2007,Alzheimer's Disease (G30),F,Not Stated/Unknown,.
2011,Alzheimer's Disease (G30),F,Hispanic,90
2009,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,183
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,13
2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,123
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,554
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,84
2014,All Other Causes,F,Other Race/ Ethnicity,59
2012,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,29
2010,All Other Causes,F,Black Non-Hispanic,1326
2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,107
2011,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,466
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,356
2009,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,255
2007,All Other Causes,F,White Non-Hispanic,1680
2011,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3222
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.
2013,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1592
2010,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,6
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,271
2013,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,204
2010,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,.
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5168
2009,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,290
2009,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,281
2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Not Stated/Unknown,.
2008,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,6
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,.
2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,Not Stated/Unknown,.
